Model,Accuracy,F1 Score
Random Forest,0.8795518207282913,0.8756329355008956
Decision Tree,0.8627450980392157,0.8630821326485605
XGBoost,0.8627450980392157,0.8619252710435196
Logistic Regression,0.8571428571428571,0.8505762049736827
Neural Network,0.8375350140056023,0.8277581601013834
SVM,0.8123249299719888,0.7712152521140083
