Model,Accuracy,F1 Score
XGBoost,0.8851540616246498,0.8849750816676243
Random Forest,0.8711484593837535,0.8728006323043827
Decision Tree,0.865546218487395,0.867274819409874
Logistic Regression,0.834733893557423,0.8245595637493935
Neural Network,0.8067226890756303,0.7875735629978741
SVM,0.7675070028011205,0.7002139784104269
