Model,Accuracy,F1 Score
XGBoost,0.9131652661064426,0.9138320163718332
Random Forest,0.9047619047619048,0.905628012531921
SVM,0.8935574229691877,0.8926388777944644
Neural Network,0.8851540616246498,0.8851216032293723
Decision Tree,0.8179271708683473,0.8179224426855964
Logistic Regression,0.7310924369747899,0.7271889508064855
